explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
this outbreak may have been a result of stress due to work and family issues,1,outbreak may result stress due work family issues,"[0.012846697121858597, 0.021104570478200912, 0.03368709981441498, 0.06849250197410583, 0.13214854896068573, 0.33995160460472107, 0.5094021558761597, 1.25078284740448]"
moist gangrene is death and putrefactive decay caused by bacterial infection,1,moist gangrene death putrefactive decay caused bacterial infection,"[0.015096098184585571, 0.021368321031332016, 0.07958931475877762, 0.06994924694299698, 0.18100829422473907, 0.19799914956092834, 0.5184897780418396, 1.2330957651138306]"
a hernia may cause groin tenderness and pain,1,hernia may cause groin tenderness pain,"[0.05320483818650246, 0.09567882865667343, 0.1877118945121765, 0.4435334801673889, 0.6430308818817139, 1.1870160102844238]"
eating large amounts of high fat foods adds excess calories which can lead to weight gain and obesity,1,eating large amounts high fat foods adds excess calories lead weight gain obesity,"[0.0007435957086272538, 0.0015160752227529883, 0.002786873606964946, 0.004236627835780382, 0.011661543510854244, 0.01611446402966976, 0.02215973101556301, 0.049532193690538406, 0.07023239880800247, 0.11960573494434357, 0.20420639216899872, 0.5215041637420654, 1.4465217590332031]"
just as a reminder as stress can trigger ill health friendship and happiness can have a protective effect,1,reminder stress trigger ill health friendship happiness protective effect,"[0.007461748085916042, 0.015702472999691963, 0.02648625522851944, 0.03916638344526291, 0.07257163524627686, 0.07508913427591324, 0.20657894015312195, 0.4240999221801758, 1.3671852350234985]"
the book led to acclaim and controversy,1,book led acclaim controversy,"[0.21475669741630554, 0.37833476066589355, 0.6069697737693787, 1.344404697418213]"
dukan notes that our weight gain is a result of how many fat cells we have,1,dukan notes weight gain result many fat cells,"[0.011729706078767776, 0.023457113653421402, 0.04418759047985077, 0.12234538793563843, 0.22132858633995056, 0.4638102650642395, 0.7893159985542297, 1.0377156734466553]"
eating too much often leads to obesity and diabetes,1,eating much often leads obesity diabetes,"[0.04678548872470856, 0.06663811206817627, 0.1771908551454544, 0.2758569121360779, 0.7225891947746277, 1.5136182308197021]"
the extra sebum that is produced is the main cause of inflammation and acne,1,extra sebum produced main cause inflammation acne,"[0.02086036279797554, 0.03302682191133499, 0.06935059279203415, 0.16987769305706024, 0.3742491900920868, 0.7153013944625854, 1.5257102251052856]"
in excessive doses thallium vitamin a and retinoids can also cause hair loss,1,excessive doses thallium vitamin retinoids also cause hair loss,"[0.004499425180256367, 0.013062935322523117, 0.01734767109155655, 0.032604534178972244, 0.06077945977449417, 0.09207156300544739, 0.18473097681999207, 0.6344838738441467, 1.3213472366333008]"
exposure to formaldehyde has been shown to cause respiratory problems blindness rashes and other skin irritations,1,exposure formaldehyde shown cause respiratory problems blindness rashes skin irritations,"[0.008554884232580662, 0.011001728475093842, 0.0203755684196949, 0.033983033150434494, 0.07168510556221008, 0.1495797336101532, 0.20192484557628632, 0.7569666504859924, 0.8220635652542114, 1.479198694229126]"
dust may cause skin irritations,1,dust may cause skin irritations,"[0.11901547014713287, 0.15572699904441833, 0.33811822533607483, 0.777617871761322, 1.4354321956634521]"
chronic skin contact may cause dermatitis,1,chronic skin contact may cause dermatitis,"[0.09074031561613083, 0.10827667266130447, 0.16922792792320251, 0.3331529200077057, 0.5489064455032349, 1.4296069145202637]"
we know that nationalism causes separatism exclusiveness friction ill will and enmity,1,know nationalism causes separatism exclusiveness friction ill enmity,"[0.027471767738461494, 0.04897482693195343, 0.0444699227809906, 0.2028266042470932, 0.21938300132751465, 0.4202359914779663, 0.7140274047851562, 1.6187844276428223]"
sleep deprivation by the way also causes anxiety and depression,1,sleep deprivation way also causes anxiety depression,"[0.014876307919621468, 0.03302793949842453, 0.06274628639221191, 0.09213142842054367, 0.18351736664772034, 0.49638861417770386, 1.228014349937439]"
death is the result of inaction,1,death result inaction,"[0.48481911420822144, 0.8302220702171326, 1.5108307600021362]"
the antioxidants in hot cocoa protect brain cells from oxidative stress that can lead to alzheimer s and other disorders,1,antioxidants hot cocoa protect brain cells oxidative stress lead alzheimer disorders,"[0.0033752955496311188, 0.005350407678633928, 0.00960475392639637, 0.01667957566678524, 0.028907911852002144, 0.04755706712603569, 0.09818856418132782, 0.1970469355583191, 0.2788245379924774, 0.8784595727920532, 1.4331517219543457]"
however bruises also may be the result of physical abuse or other conditions,1,however bruises also may result physical abuse conditions,"[0.022863509133458138, 0.03518234193325043, 0.055022209882736206, 0.121352419257164, 0.2624514102935791, 0.42018556594848633, 0.836570680141449, 1.625413179397583]"
in a prepubescent child a tumor may cause precocious puberty,1,prepubescent child tumor may cause precocious puberty,"[0.032673418521881104, 0.0722636952996254, 0.13410720229148865, 0.20129242539405823, 0.26831185817718506, 0.5413771867752075, 1.465360403060913]"
waves that are the direct result of the local wind are called wind waves,1,waves direct result local wind called wind waves,"[1.2804064750671387, 0.03437584638595581, 0.06188569962978363, 0.10708840191364288, 0.8428118228912354, 0.24279148876667023, 0.8428118228912354, 1.2804064750671387]"
liquid causes damage at 120 degrees or above,1,liquid causes damage 120 degrees,"[0.16294176876544952, 0.18551276624202728, 0.33380287885665894, 0.7020741105079651, 1.3007745742797852]"
mill valley s treatment plant attributed the spills to human error,1,mill valley treatment plant attributed spills human error,"[0.009895365685224533, 0.01978178694844246, 0.04823213070631027, 0.0969996452331543, 0.14223521947860718, 0.3974933624267578, 0.7473235726356506, 1.3314502239227295]"
there are rumours in ghana that pesticides have been causing infertility,1,rumours ghana pesticides causing infertility,"[0.11658191680908203, 0.35400986671447754, 0.49389761686325073, 0.5580867528915405, 1.4355534315109253]"
diets high in sodium are associated with hypertension,1,diets high sodium associated hypertension,"[0.14638245105743408, 0.23276054859161377, 0.3384906053543091, 0.5308219194412231, 0.9964717030525208]"
hard water can cause calcium deposits to build up on the glass and make it cloudy,1,hard water cause calcium deposits build glass make cloudy,"[0.021164922043681145, 0.039887044578790665, 0.0500510036945343, 0.05749821290373802, 0.07876169681549072, 0.15952467918395996, 0.36343473196029663, 0.7627575397491455, 1.612350344657898]"
as the result these injuries may lead to scars internal bleeding impotence and other dangerous consequences,1,result injuries may lead scars internal bleeding impotence dangerous consequences,"[0.004908703733235598, 0.00800576712936163, 0.015135323628783226, 0.029460255056619644, 0.03918066248297691, 0.08402010053396225, 0.2040005326271057, 0.4350322484970093, 0.7423463463783264, 1.2979742288589478]"
death is usually due to pneumonia or urinary tract infection,1,death usually due pneumonia urinary tract infection,"[0.1009669229388237, 0.04707450419664383, 0.0877562165260315, 0.13592490553855896, 0.29839614033699036, 0.644062340259552, 1.0596306324005127]"
green bay has a dead zone caused by phosphorus pollution that appears to be getting worse,1,green bay dead zone caused phosphorus pollution appears getting worse,"[0.005273426417261362, 0.008552911691367626, 0.01719694770872593, 0.028156191110610962, 0.10883744060993195, 0.10580098628997803, 0.19002583622932434, 0.333484947681427, 0.8698965907096863, 1.3530495166778564]"
such toxins may lead to a thinning of eggshells tissue damage or deviation from natural behaviors,1,toxins may lead thinning eggshells tissue damage deviation natural behaviors,"[0.0030903154984116554, 0.0068094320595264435, 0.010044689290225506, 0.01916305162012577, 0.045365434139966965, 0.06160317361354828, 0.1333877593278885, 0.30614522099494934, 0.4998667240142822, 1.0052697658538818]"
if you believe that mankind s co2 emissions are causing global warming surely nature is doing far worse to itself,1,believe mankind co2 emissions causing global warming surely nature far worse,"[0.00368477706797421, 0.008447505533695221, 0.018499311059713364, 0.04314076900482178, 0.04122384265065193, 0.10236654430627823, 0.1385168731212616, 0.22354184091091156, 0.27714866399765015, 1.0435309410095215, 1.1187020540237427]"
grasshoppers are affected by diseases caused by bacteria viruses fungi and protozoa,1,grasshoppers affected diseases caused bacteria viruses fungi protozoa,"[0.010113218799233437, 0.021995101124048233, 0.046546489000320435, 0.08498367667198181, 0.1469988077878952, 0.3609144687652588, 0.5954879522323608, 1.6060417890548706]"
often a stressful event can cause depression,1,often stressful event cause depression,"[0.10076211392879486, 0.10949507355690002, 0.21264618635177612, 0.332684189081192, 1.220926284790039]"
in some areas murder is the leading cause of death for pregnant women,1,areas murder leading cause death pregnant women,"[0.02284754440188408, 0.034354183822870255, 0.06696701049804688, 0.1085931733250618, 0.27962198853492737, 0.6127936244010925, 1.2305893898010254]"
tics can be caused by other disorders including autism spectrum disorders such as asperger s,1,tics caused disorders including autism spectrum disorders asperger,"[0.016643889248371124, 0.022519376128911972, 0.7551088333129883, 0.1512957662343979, 0.23100459575653076, 0.27920857071876526, 0.7551088333129883, 1.070401906967163]"
alcohol abuse is a leading cause of both acute pancreatitis and chronic pancreatitis,1,alcohol abuse leading cause acute pancreatitis chronic pancreatitis,"[0.01417762041091919, 0.025307266041636467, 0.036367714405059814, 0.08847919851541519, 0.24064955115318298, 1.533880352973938, 0.6550902128219604, 1.533880352973938]"
hepatitis c can cause severe liver disease liver cancer and death,1,hepatitis c cause severe liver disease liver cancer death,"[0.011078502051532269, 0.016079556196928024, 0.023642875254154205, 0.04473340883851051, 0.3744942843914032, 0.13939735293388367, 0.3744942843914032, 0.5568509101867676, 1.428817868232727]"
toxic levels of alcohol in the blood could cause respiratory failure and cardiac failure which can result in a coma or death,1,toxic levels alcohol blood could cause respiratory failure cardiac failure result coma death,"[0.0021595433354377747, 0.0023972277995198965, 0.005557727068662643, 0.01083635725080967, 0.020830487832427025, 0.02509872242808342, 0.056037649512290955, 0.3988506495952606, 0.1511765569448471, 0.3988506495952606, 0.6115392446517944, 0.8373063802719116, 1.3859329223632812]"
microdermabrasion if prolonged may lead to redness and irritation especially when done with a light glycolic peel,1,microdermabrasion prolonged may lead redness irritation especially done light glycolic peel,"[0.0037125935778021812, 0.006786982994526625, 0.010407266207039356, 0.018344616517424583, 0.05395003780722618, 0.057447649538517, 0.15487255156040192, 0.1962454468011856, 0.4146691858768463, 0.6578870415687561, 1.2017546892166138]"
assault and rape can cause severe physical and emotional injuries,1,assault rape cause severe physical emotional injuries,"[0.020783301442861557, 0.061048440635204315, 0.09075337648391724, 0.14649872481822968, 0.24296103417873383, 0.6316933035850525, 1.4971885681152344]"
